POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23448 bits [Y 36.0636 dB    U 40.3834 dB    V 39.9462 dB] [ET    16 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23368 bits [Y 36.0316 dB    U 40.3384 dB    V 39.8858 dB] [ET    17 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23304 bits [Y 36.0019 dB    U 40.2535 dB    V 40.1082 dB] [ET    17 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23464 bits [Y 36.0724 dB    U 40.2855 dB    V 40.0402 dB] [ET    18 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23184 bits [Y 36.0471 dB    U 40.3227 dB    V 39.9861 dB] [ET    18 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23088 bits [Y 36.0228 dB    U 40.0676 dB    V 39.9854 dB] [ET    17 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23624 bits [Y 36.1399 dB    U 40.3234 dB    V 40.0066 dB] [ET    17 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23048 bits [Y 36.0266 dB    U 40.2186 dB    V 39.9381 dB] [ET    17 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23376 bits [Y 36.0517 dB    U 40.2506 dB    V 40.1141 dB] [ET    16 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23440 bits [Y 36.1008 dB    U 40.2003 dB    V 40.1327 dB] [ET    18 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23376 bits [Y 36.0102 dB    U 40.3129 dB    V 40.1701 dB] [ET    17 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23624 bits [Y 36.0278 dB    U 40.2210 dB    V 40.0401 dB] [ET    17 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23440 bits [Y 35.9971 dB    U 40.2619 dB    V 40.0791 dB] [ET    17 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      22968 bits [Y 36.0297 dB    U 40.2166 dB    V 40.0082 dB] [ET    16 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23080 bits [Y 36.0595 dB    U 40.4451 dB    V 39.9753 dB] [ET    16 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23160 bits [Y 36.0828 dB    U 40.1169 dB    V 40.0411 dB] [ET    17 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23136 bits [Y 36.0520 dB    U 40.4231 dB    V 39.9897 dB] [ET    17 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23392 bits [Y 36.0635 dB    U 40.1854 dB    V 40.0108 dB] [ET    16 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23408 bits [Y 36.0975 dB    U 40.3629 dB    V 40.2446 dB] [ET    16 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23328 bits [Y 35.9911 dB    U 40.2900 dB    V 40.1072 dB] [ET    16 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23496 bits [Y 36.0648 dB    U 40.2620 dB    V 40.0413 dB] [ET    16 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23296 bits [Y 36.0159 dB    U 40.3492 dB    V 40.1672 dB] [ET    16 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23080 bits [Y 36.0875 dB    U 40.2024 dB    V 40.0079 dB] [ET    16 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23224 bits [Y 36.0927 dB    U 40.3200 dB    V 40.2356 dB] [ET    16 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23464 bits [Y 36.0539 dB    U 40.2818 dB    V 40.0533 dB] [ET    16 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23368 bits [Y 36.1015 dB    U 40.2613 dB    V 40.0895 dB] [ET    16 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23536 bits [Y 36.0602 dB    U 40.3444 dB    V 39.9549 dB] [ET    16 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23112 bits [Y 36.0300 dB    U 40.1557 dB    V 40.0220 dB] [ET    16 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23136 bits [Y 36.0198 dB    U 40.1777 dB    V 39.8781 dB] [ET    16 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23536 bits [Y 36.1150 dB    U 40.3515 dB    V 39.9846 dB] [ET    17 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23216 bits [Y 36.0117 dB    U 40.2800 dB    V 40.0207 dB] [ET    17 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23232 bits [Y 36.1410 dB    U 40.3017 dB    V 40.0726 dB] [ET    16 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23216 bits [Y 36.0891 dB    U 40.3030 dB    V 40.0076 dB] [ET    16 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23144 bits [Y 36.0791 dB    U 40.1706 dB    V 40.0149 dB] [ET    16 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23248 bits [Y 36.0435 dB    U 40.4191 dB    V 40.0006 dB] [ET    16 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23384 bits [Y 36.0674 dB    U 40.4412 dB    V 39.8417 dB] [ET    16 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23392 bits [Y 36.0162 dB    U 40.3141 dB    V 39.9999 dB] [ET    17 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23424 bits [Y 36.0425 dB    U 40.0780 dB    V 40.0405 dB] [ET    16 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23656 bits [Y 36.1392 dB    U 40.3239 dB    V 40.1102 dB] [ET    16 ] [L0] [L1]
