POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590600 bits [Y 41.9580 dB    U 44.8362 dB    V 43.2873 dB] [ET    98 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589448 bits [Y 41.9535 dB    U 44.8944 dB    V 43.2573 dB] [ET   102 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588744 bits [Y 41.9367 dB    U 44.8888 dB    V 43.2558 dB] [ET    99 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588680 bits [Y 41.9454 dB    U 44.8820 dB    V 43.2636 dB] [ET   100 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591592 bits [Y 41.9515 dB    U 44.9137 dB    V 43.2809 dB] [ET    98 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590672 bits [Y 41.9529 dB    U 44.9118 dB    V 43.2881 dB] [ET    99 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590784 bits [Y 41.9377 dB    U 44.8418 dB    V 43.2999 dB] [ET    99 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591080 bits [Y 41.9504 dB    U 44.8859 dB    V 43.2934 dB] [ET    97 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591304 bits [Y 41.9390 dB    U 44.9022 dB    V 43.2710 dB] [ET   100 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591256 bits [Y 41.9584 dB    U 44.8789 dB    V 43.2162 dB] [ET   100 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590736 bits [Y 41.9179 dB    U 44.9397 dB    V 43.2787 dB] [ET   101 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590328 bits [Y 41.9522 dB    U 44.8603 dB    V 43.2718 dB] [ET   100 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590408 bits [Y 41.9542 dB    U 44.9029 dB    V 43.2628 dB] [ET    98 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591016 bits [Y 41.9336 dB    U 44.8503 dB    V 43.2193 dB] [ET   101 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591992 bits [Y 41.9495 dB    U 44.8928 dB    V 43.3540 dB] [ET    97 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592096 bits [Y 41.9447 dB    U 44.8912 dB    V 43.2860 dB] [ET    97 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592120 bits [Y 41.9468 dB    U 44.8621 dB    V 43.2640 dB] [ET   101 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592280 bits [Y 41.9584 dB    U 44.8597 dB    V 43.2416 dB] [ET    98 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591728 bits [Y 41.9436 dB    U 44.8574 dB    V 43.2339 dB] [ET   100 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591400 bits [Y 41.9324 dB    U 44.8340 dB    V 43.2410 dB] [ET   100 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591864 bits [Y 41.9384 dB    U 44.9079 dB    V 43.2894 dB] [ET    97 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591888 bits [Y 41.9451 dB    U 44.8965 dB    V 43.2548 dB] [ET    98 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590816 bits [Y 41.9210 dB    U 44.8803 dB    V 43.2384 dB] [ET    99 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592096 bits [Y 41.9419 dB    U 44.8976 dB    V 43.2670 dB] [ET   101 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592816 bits [Y 41.9467 dB    U 44.8945 dB    V 43.2575 dB] [ET    99 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592728 bits [Y 41.9531 dB    U 44.9366 dB    V 43.2269 dB] [ET    99 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590864 bits [Y 41.9281 dB    U 44.7810 dB    V 43.1776 dB] [ET    97 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592688 bits [Y 41.9579 dB    U 44.8284 dB    V 43.1856 dB] [ET    97 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592136 bits [Y 41.9110 dB    U 44.9148 dB    V 43.2907 dB] [ET    98 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591056 bits [Y 41.9277 dB    U 44.9550 dB    V 43.2284 dB] [ET   101 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591400 bits [Y 41.9296 dB    U 44.9005 dB    V 43.2409 dB] [ET    99 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593000 bits [Y 41.9524 dB    U 44.8431 dB    V 43.2275 dB] [ET   102 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592424 bits [Y 41.9293 dB    U 44.8608 dB    V 43.2644 dB] [ET    99 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593248 bits [Y 41.9540 dB    U 44.9112 dB    V 43.2708 dB] [ET   100 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591528 bits [Y 41.9273 dB    U 44.8529 dB    V 43.2246 dB] [ET   101 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592392 bits [Y 41.9475 dB    U 44.8941 dB    V 43.2458 dB] [ET   101 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593016 bits [Y 41.9359 dB    U 44.9036 dB    V 43.1850 dB] [ET    95 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593192 bits [Y 41.9452 dB    U 44.8909 dB    V 43.2275 dB] [ET   101 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592056 bits [Y 41.9341 dB    U 44.8979 dB    V 43.2114 dB] [ET   102 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592304 bits [Y 41.9470 dB    U 44.8538 dB    V 43.2019 dB] [ET   100 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593336 bits [Y 41.9692 dB    U 44.8679 dB    V 43.2015 dB] [ET    99 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592336 bits [Y 41.9392 dB    U 44.8351 dB    V 43.2189 dB] [ET   100 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593240 bits [Y 41.9557 dB    U 44.7750 dB    V 43.2319 dB] [ET    98 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593120 bits [Y 41.9410 dB    U 44.9388 dB    V 43.2047 dB] [ET   101 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593608 bits [Y 41.9491 dB    U 44.9310 dB    V 43.2870 dB] [ET    97 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     594584 bits [Y 41.9536 dB    U 44.9103 dB    V 43.2022 dB] [ET   102 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     594184 bits [Y 41.9542 dB    U 44.8151 dB    V 43.2181 dB] [ET    98 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593688 bits [Y 41.9359 dB    U 44.8736 dB    V 43.2748 dB] [ET   102 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592664 bits [Y 41.9366 dB    U 44.8385 dB    V 43.2133 dB] [ET    98 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     591520 bits [Y 41.9117 dB    U 44.8667 dB    V 43.1604 dB] [ET    97 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     592568 bits [Y 41.9426 dB    U 44.9189 dB    V 43.1971 dB] [ET    96 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593200 bits [Y 41.9496 dB    U 44.8926 dB    V 43.2616 dB] [ET    95 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593032 bits [Y 41.9526 dB    U 44.9018 dB    V 43.1967 dB] [ET    96 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     594536 bits [Y 41.9734 dB    U 44.8680 dB    V 43.2253 dB] [ET    95 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593928 bits [Y 41.9537 dB    U 44.9057 dB    V 43.2060 dB] [ET    93 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593376 bits [Y 41.9280 dB    U 44.9300 dB    V 43.2129 dB] [ET    94 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593568 bits [Y 41.9506 dB    U 44.8960 dB    V 43.1783 dB] [ET    93 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     593192 bits [Y 41.9218 dB    U 44.8842 dB    V 43.2137 dB] [ET    96 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  35476.5452   41.9443  44.8808  43.2590  42.5263  

 finished @ Mon Sep  4 17:41:19 2023
 Total Time:     8059.648 sec. [user]     8059.649 sec. [elapsed]
