POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144848 bits [Y 40.5511 dB    U 46.6745 dB    V 47.8300 dB] [ET    50 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144016 bits [Y 40.4988 dB    U 46.5451 dB    V 47.8586 dB] [ET    44 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144840 bits [Y 40.4885 dB    U 46.5059 dB    V 47.7767 dB] [ET    46 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     145760 bits [Y 40.5510 dB    U 46.4293 dB    V 47.7907 dB] [ET    46 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142704 bits [Y 40.5328 dB    U 46.6398 dB    V 47.8459 dB] [ET    46 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142688 bits [Y 40.5101 dB    U 46.6244 dB    V 47.7634 dB] [ET    48 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143272 bits [Y 40.5354 dB    U 46.4946 dB    V 48.0755 dB] [ET    50 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143016 bits [Y 40.5180 dB    U 46.6699 dB    V 47.8569 dB] [ET    49 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144912 bits [Y 40.5850 dB    U 46.5088 dB    V 47.9276 dB] [ET    45 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144464 bits [Y 40.5253 dB    U 46.8032 dB    V 47.9315 dB] [ET    44 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144880 bits [Y 40.5145 dB    U 46.5556 dB    V 47.8395 dB] [ET    47 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144736 bits [Y 40.5057 dB    U 46.3790 dB    V 47.7636 dB] [ET    45 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144960 bits [Y 40.5465 dB    U 46.5155 dB    V 47.8955 dB] [ET    45 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142808 bits [Y 40.5801 dB    U 46.5696 dB    V 48.0224 dB] [ET    45 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142720 bits [Y 40.5580 dB    U 46.6335 dB    V 47.9028 dB] [ET    45 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142616 bits [Y 40.5570 dB    U 46.6510 dB    V 47.9222 dB] [ET    45 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142472 bits [Y 40.5277 dB    U 46.5624 dB    V 48.0013 dB] [ET    44 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143344 bits [Y 40.5594 dB    U 46.5829 dB    V 47.9832 dB] [ET    45 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143992 bits [Y 40.5125 dB    U 46.6106 dB    V 48.0716 dB] [ET    45 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143456 bits [Y 40.5150 dB    U 46.5107 dB    V 47.7940 dB] [ET    45 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143960 bits [Y 40.5244 dB    U 46.5087 dB    V 47.7280 dB] [ET    46 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     144272 bits [Y 40.5464 dB    U 46.6124 dB    V 47.8903 dB] [ET    45 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141992 bits [Y 40.5720 dB    U 46.4915 dB    V 47.8945 dB] [ET    43 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142632 bits [Y 40.5821 dB    U 46.5108 dB    V 47.8836 dB] [ET    46 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142512 bits [Y 40.5234 dB    U 46.6853 dB    V 47.7650 dB] [ET    45 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143120 bits [Y 40.5592 dB    U 46.6909 dB    V 47.9710 dB] [ET    44 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143592 bits [Y 40.5526 dB    U 46.5662 dB    V 47.8070 dB] [ET    45 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143096 bits [Y 40.5248 dB    U 46.2994 dB    V 47.9580 dB] [ET    42 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142232 bits [Y 40.5154 dB    U 46.5741 dB    V 47.8519 dB] [ET    44 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143592 bits [Y 40.5394 dB    U 46.5321 dB    V 48.0213 dB] [ET    44 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143608 bits [Y 40.5360 dB    U 46.5646 dB    V 47.7924 dB] [ET    44 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141056 bits [Y 40.5506 dB    U 46.7677 dB    V 48.0215 dB] [ET    47 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142320 bits [Y 40.5662 dB    U 46.6628 dB    V 48.0228 dB] [ET    47 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143008 bits [Y 40.5830 dB    U 46.7485 dB    V 48.2413 dB] [ET    45 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141968 bits [Y 40.5531 dB    U 46.6102 dB    V 47.9361 dB] [ET    44 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142856 bits [Y 40.5707 dB    U 46.5445 dB    V 47.9592 dB] [ET    44 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     143008 bits [Y 40.5742 dB    U 46.5303 dB    V 48.0339 dB] [ET    44 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142248 bits [Y 40.5344 dB    U 46.4301 dB    V 48.2630 dB] [ET    43 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142488 bits [Y 40.5590 dB    U 46.4880 dB    V 48.1784 dB] [ET    45 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     142864 bits [Y 40.5332 dB    U 46.4795 dB    V 47.9552 dB] [ET    46 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     140160 bits [Y 40.6016 dB    U 46.6437 dB    V 48.1748 dB] [ET    43 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141696 bits [Y 40.6222 dB    U 46.6513 dB    V 47.8417 dB] [ET    44 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141160 bits [Y 40.5862 dB    U 46.7018 dB    V 48.0417 dB] [ET    43 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141184 bits [Y 40.5612 dB    U 46.4800 dB    V 48.0851 dB] [ET    43 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141912 bits [Y 40.6124 dB    U 46.6833 dB    V 47.9200 dB] [ET    44 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141760 bits [Y 40.5906 dB    U 46.5627 dB    V 47.7359 dB] [ET    44 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141136 bits [Y 40.5576 dB    U 46.5063 dB    V 47.7741 dB] [ET    44 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141560 bits [Y 40.5463 dB    U 46.6021 dB    V 48.0488 dB] [ET    44 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141632 bits [Y 40.5281 dB    U 46.6339 dB    V 48.1458 dB] [ET    44 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     139592 bits [Y 40.6300 dB    U 46.6087 dB    V 48.0556 dB] [ET    44 ] [L0] [L1]
