POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222792 bits [Y 44.0012 dB    U 47.7047 dB    V 50.7034 dB] [ET    71 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     223904 bits [Y 43.9998 dB    U 47.7917 dB    V 50.6915 dB] [ET    70 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222536 bits [Y 43.9528 dB    U 47.7657 dB    V 50.6531 dB] [ET    71 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     223576 bits [Y 44.0036 dB    U 47.7842 dB    V 50.7706 dB] [ET    72 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221624 bits [Y 43.9791 dB    U 47.6190 dB    V 50.7270 dB] [ET    71 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221368 bits [Y 43.9711 dB    U 47.6635 dB    V 50.7582 dB] [ET    70 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221192 bits [Y 43.9774 dB    U 47.6770 dB    V 50.7121 dB] [ET    71 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221680 bits [Y 43.9859 dB    U 47.7039 dB    V 50.7535 dB] [ET    70 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221536 bits [Y 43.9879 dB    U 47.6558 dB    V 50.7317 dB] [ET    72 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221784 bits [Y 43.9707 dB    U 47.7478 dB    V 50.7554 dB] [ET    72 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221464 bits [Y 43.9714 dB    U 47.7336 dB    V 50.6849 dB] [ET    72 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221872 bits [Y 43.9795 dB    U 47.7318 dB    V 50.7240 dB] [ET    71 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222248 bits [Y 44.0000 dB    U 47.7182 dB    V 50.7942 dB] [ET    71 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221304 bits [Y 43.9675 dB    U 47.7185 dB    V 50.7564 dB] [ET    70 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     220864 bits [Y 43.9539 dB    U 47.7707 dB    V 50.6928 dB] [ET    72 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221112 bits [Y 43.9845 dB    U 47.6747 dB    V 50.6747 dB] [ET    71 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221184 bits [Y 43.9707 dB    U 47.7043 dB    V 50.8225 dB] [ET    70 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222064 bits [Y 44.0100 dB    U 47.6155 dB    V 50.8335 dB] [ET    71 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     220736 bits [Y 43.9627 dB    U 47.6727 dB    V 50.7052 dB] [ET    71 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221816 bits [Y 43.9739 dB    U 47.7887 dB    V 50.7541 dB] [ET    70 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221128 bits [Y 43.9679 dB    U 47.7207 dB    V 50.7083 dB] [ET    73 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222664 bits [Y 43.9932 dB    U 47.7496 dB    V 50.8088 dB] [ET    70 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221984 bits [Y 43.9977 dB    U 47.7243 dB    V 50.7302 dB] [ET    72 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222160 bits [Y 44.0006 dB    U 47.7272 dB    V 50.7263 dB] [ET    72 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221632 bits [Y 43.9687 dB    U 47.6925 dB    V 50.7127 dB] [ET    70 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221032 bits [Y 43.9763 dB    U 47.7158 dB    V 50.8026 dB] [ET    72 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221944 bits [Y 43.9770 dB    U 47.6767 dB    V 50.6888 dB] [ET    70 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     220904 bits [Y 43.9635 dB    U 47.7758 dB    V 50.6747 dB] [ET    70 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221672 bits [Y 43.9922 dB    U 47.8309 dB    V 50.7208 dB] [ET    71 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221304 bits [Y 43.9717 dB    U 47.7152 dB    V 50.7120 dB] [ET    71 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222360 bits [Y 43.9947 dB    U 47.7725 dB    V 50.7092 dB] [ET    71 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221840 bits [Y 43.9769 dB    U 47.7291 dB    V 50.6693 dB] [ET    72 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221528 bits [Y 43.9913 dB    U 47.7578 dB    V 50.7616 dB] [ET    71 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221952 bits [Y 43.9764 dB    U 47.7342 dB    V 50.8138 dB] [ET    72 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222064 bits [Y 43.9892 dB    U 47.6925 dB    V 50.7545 dB] [ET    70 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221128 bits [Y 43.9879 dB    U 47.6341 dB    V 50.7157 dB] [ET    68 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221744 bits [Y 43.9852 dB    U 47.7476 dB    V 50.7616 dB] [ET    70 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221064 bits [Y 43.9586 dB    U 47.7372 dB    V 50.6717 dB] [ET    65 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221504 bits [Y 43.9852 dB    U 47.6910 dB    V 50.6638 dB] [ET    67 ] [L0] [L1]
