POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215032 bits [Y 37.3807 dB    U 45.5813 dB    V 46.4498 dB] [ET    78 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217344 bits [Y 37.4133 dB    U 45.7224 dB    V 46.5901 dB] [ET    76 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217248 bits [Y 37.3985 dB    U 45.7566 dB    V 46.6090 dB] [ET    81 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217408 bits [Y 37.3981 dB    U 45.7667 dB    V 46.5717 dB] [ET    77 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215432 bits [Y 37.3976 dB    U 45.6106 dB    V 46.6017 dB] [ET    76 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216256 bits [Y 37.3959 dB    U 45.7626 dB    V 46.7120 dB] [ET    76 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216304 bits [Y 37.4124 dB    U 45.6588 dB    V 46.5797 dB] [ET    75 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215824 bits [Y 37.3934 dB    U 45.7077 dB    V 46.6324 dB] [ET    78 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216320 bits [Y 37.4019 dB    U 45.7121 dB    V 46.5707 dB] [ET    77 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217080 bits [Y 37.4082 dB    U 45.5831 dB    V 46.5202 dB] [ET    78 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216896 bits [Y 37.3895 dB    U 45.6479 dB    V 46.6760 dB] [ET    78 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217960 bits [Y 37.4072 dB    U 45.6318 dB    V 46.4891 dB] [ET    73 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217032 bits [Y 37.3882 dB    U 45.7012 dB    V 46.6907 dB] [ET    76 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216008 bits [Y 37.4108 dB    U 45.7286 dB    V 46.8030 dB] [ET    75 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216280 bits [Y 37.4000 dB    U 45.8592 dB    V 46.8365 dB] [ET    78 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215776 bits [Y 37.3797 dB    U 45.7561 dB    V 46.6984 dB] [ET    77 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215672 bits [Y 37.4017 dB    U 45.7925 dB    V 46.6015 dB] [ET    73 ] [L0] [L1]
