POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239544 bits [Y 43.4969 dB    U 44.4377 dB    V 45.6081 dB] [ET    83 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239416 bits [Y 43.4940 dB    U 44.4367 dB    V 45.5709 dB] [ET    83 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237968 bits [Y 43.4870 dB    U 44.3680 dB    V 45.5035 dB] [ET    83 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238376 bits [Y 43.4886 dB    U 44.3507 dB    V 45.5531 dB] [ET    83 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238744 bits [Y 43.4938 dB    U 44.3787 dB    V 45.5826 dB] [ET    83 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239048 bits [Y 43.4770 dB    U 44.4320 dB    V 45.5025 dB] [ET    84 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238944 bits [Y 43.4868 dB    U 44.4027 dB    V 45.5895 dB] [ET    84 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239680 bits [Y 43.4845 dB    U 44.4074 dB    V 45.5698 dB] [ET    81 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239632 bits [Y 43.5171 dB    U 44.3580 dB    V 45.5772 dB] [ET    84 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     240544 bits [Y 43.5190 dB    U 44.4827 dB    V 45.6123 dB] [ET    84 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239944 bits [Y 43.5175 dB    U 44.3652 dB    V 45.5667 dB] [ET    84 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239672 bits [Y 43.5241 dB    U 44.3986 dB    V 45.5705 dB] [ET    85 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239464 bits [Y 43.5239 dB    U 44.4276 dB    V 45.5668 dB] [ET    84 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239120 bits [Y 43.4902 dB    U 44.4181 dB    V 45.5908 dB] [ET    86 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239128 bits [Y 43.5002 dB    U 44.3914 dB    V 45.4845 dB] [ET    83 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239488 bits [Y 43.4915 dB    U 44.3724 dB    V 45.5186 dB] [ET    84 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238552 bits [Y 43.4849 dB    U 44.4063 dB    V 45.5352 dB] [ET    82 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238896 bits [Y 43.4830 dB    U 44.4448 dB    V 45.5824 dB] [ET    84 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239464 bits [Y 43.5058 dB    U 44.4141 dB    V 45.5252 dB] [ET    85 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239136 bits [Y 43.5043 dB    U 44.3454 dB    V 45.5748 dB] [ET    85 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239280 bits [Y 43.5079 dB    U 44.3558 dB    V 45.5211 dB] [ET    82 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238336 bits [Y 43.4900 dB    U 44.3818 dB    V 45.4865 dB] [ET    82 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238360 bits [Y 43.4808 dB    U 44.4675 dB    V 45.5841 dB] [ET    83 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239232 bits [Y 43.5122 dB    U 44.4559 dB    V 45.5198 dB] [ET    82 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239616 bits [Y 43.5057 dB    U 44.4574 dB    V 45.5412 dB] [ET    86 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238984 bits [Y 43.5041 dB    U 44.4041 dB    V 45.5526 dB] [ET    85 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239544 bits [Y 43.4998 dB    U 44.4281 dB    V 45.5882 dB] [ET    82 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239336 bits [Y 43.5084 dB    U 44.4050 dB    V 45.6518 dB] [ET    83 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239760 bits [Y 43.5468 dB    U 44.3661 dB    V 45.5412 dB] [ET    82 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237392 bits [Y 43.4830 dB    U 44.3773 dB    V 45.5230 dB] [ET    82 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239432 bits [Y 43.5159 dB    U 44.3186 dB    V 45.5699 dB] [ET    83 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238880 bits [Y 43.4845 dB    U 44.4167 dB    V 45.4936 dB] [ET    83 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239368 bits [Y 43.5003 dB    U 44.4256 dB    V 45.6170 dB] [ET    83 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     240360 bits [Y 43.5172 dB    U 44.3741 dB    V 45.5853 dB] [ET    83 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     240136 bits [Y 43.5283 dB    U 44.4365 dB    V 45.5437 dB] [ET    84 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239984 bits [Y 43.5310 dB    U 44.4046 dB    V 45.5961 dB] [ET    84 ] [L0] [L1]
