POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41696 bits [Y 31.4988 dB    U 41.8048 dB    V 42.6222 dB] [ET    34 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42000 bits [Y 31.4985 dB    U 41.7064 dB    V 42.4406 dB] [ET    33 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41744 bits [Y 31.4783 dB    U 41.8239 dB    V 42.4921 dB] [ET    33 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41408 bits [Y 31.4556 dB    U 41.7860 dB    V 42.3403 dB] [ET    33 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41208 bits [Y 31.5164 dB    U 41.6538 dB    V 42.4262 dB] [ET    35 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41360 bits [Y 31.4907 dB    U 41.9026 dB    V 42.7693 dB] [ET    34 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41136 bits [Y 31.4861 dB    U 41.7064 dB    V 42.6269 dB] [ET    35 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41088 bits [Y 31.4762 dB    U 41.5370 dB    V 42.2123 dB] [ET    34 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41000 bits [Y 31.4549 dB    U 41.8930 dB    V 42.6244 dB] [ET    34 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41848 bits [Y 31.5098 dB    U 41.6092 dB    V 42.7437 dB] [ET    34 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41432 bits [Y 31.4658 dB    U 41.8586 dB    V 42.5627 dB] [ET    34 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41072 bits [Y 31.4328 dB    U 41.8359 dB    V 42.5556 dB] [ET    34 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41696 bits [Y 31.4754 dB    U 41.7467 dB    V 42.5804 dB] [ET    33 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41248 bits [Y 31.4904 dB    U 41.6824 dB    V 42.5099 dB] [ET    32 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41152 bits [Y 31.4915 dB    U 41.5250 dB    V 42.3270 dB] [ET    32 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41088 bits [Y 31.4518 dB    U 41.9999 dB    V 42.7202 dB] [ET    33 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41048 bits [Y 31.4824 dB    U 41.8417 dB    V 42.6577 dB] [ET    33 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41912 bits [Y 31.5031 dB    U 41.7556 dB    V 42.6619 dB] [ET    33 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41904 bits [Y 31.4979 dB    U 41.8265 dB    V 42.6342 dB] [ET    33 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41832 bits [Y 31.4776 dB    U 41.6125 dB    V 42.5257 dB] [ET    34 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42208 bits [Y 31.4929 dB    U 41.6811 dB    V 42.3921 dB] [ET    34 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41680 bits [Y 31.4848 dB    U 41.7502 dB    V 42.5123 dB] [ET    32 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41176 bits [Y 31.4622 dB    U 41.6802 dB    V 42.4109 dB] [ET    32 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42048 bits [Y 31.5206 dB    U 41.7175 dB    V 42.6828 dB] [ET    32 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41312 bits [Y 31.4485 dB    U 41.8153 dB    V 42.4920 dB] [ET    35 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      40928 bits [Y 31.4667 dB    U 41.5946 dB    V 42.5136 dB] [ET    33 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41552 bits [Y 31.4608 dB    U 41.5760 dB    V 42.4624 dB] [ET    34 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41496 bits [Y 31.4458 dB    U 41.7186 dB    V 42.3892 dB] [ET    33 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41744 bits [Y 31.4474 dB    U 41.4669 dB    V 42.6628 dB] [ET    33 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41552 bits [Y 31.4350 dB    U 41.7864 dB    V 42.6105 dB] [ET    36 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42280 bits [Y 31.4605 dB    U 41.7964 dB    V 42.6315 dB] [ET    36 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41424 bits [Y 31.4875 dB    U 41.7672 dB    V 42.6088 dB] [ET    35 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41712 bits [Y 31.4732 dB    U 41.7881 dB    V 42.7965 dB] [ET    35 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42216 bits [Y 31.4920 dB    U 41.7618 dB    V 42.8029 dB] [ET    35 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41504 bits [Y 31.4563 dB    U 41.5294 dB    V 42.5303 dB] [ET    35 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41888 bits [Y 31.4820 dB    U 41.7671 dB    V 42.7180 dB] [ET    35 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41944 bits [Y 31.4489 dB    U 41.5792 dB    V 42.7040 dB] [ET    36 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41600 bits [Y 31.4487 dB    U 41.5355 dB    V 42.4240 dB] [ET    37 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41856 bits [Y 31.4329 dB    U 41.6319 dB    V 42.5696 dB] [ET    35 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42128 bits [Y 31.4535 dB    U 41.5848 dB    V 42.7487 dB] [ET    37 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41784 bits [Y 31.4879 dB    U 41.6329 dB    V 42.6365 dB] [ET    36 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42152 bits [Y 31.5081 dB    U 41.7554 dB    V 42.3893 dB] [ET    33 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41712 bits [Y 31.4538 dB    U 41.5590 dB    V 42.6582 dB] [ET    35 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41616 bits [Y 31.4580 dB    U 41.6834 dB    V 42.6905 dB] [ET    34 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41992 bits [Y 31.5074 dB    U 41.7258 dB    V 43.0197 dB] [ET    38 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41584 bits [Y 31.4487 dB    U 41.7586 dB    V 42.4690 dB] [ET    36 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42344 bits [Y 31.4670 dB    U 41.9102 dB    V 42.7790 dB] [ET    37 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42456 bits [Y 31.4697 dB    U 41.8061 dB    V 42.7089 dB] [ET    35 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42256 bits [Y 31.4784 dB    U 41.7660 dB    V 42.8976 dB] [ET    38 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41544 bits [Y 31.4943 dB    U 41.8890 dB    V 42.8248 dB] [ET    37 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41944 bits [Y 31.4771 dB    U 41.6737 dB    V 42.5918 dB] [ET    37 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42080 bits [Y 31.4941 dB    U 41.4179 dB    V 42.6006 dB] [ET    38 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41832 bits [Y 31.4775 dB    U 41.7359 dB    V 42.6904 dB] [ET    37 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41832 bits [Y 31.4592 dB    U 41.7999 dB    V 42.9580 dB] [ET    35 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42776 bits [Y 31.5196 dB    U 41.7587 dB    V 42.3277 dB] [ET    35 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41976 bits [Y 31.4565 dB    U 41.5953 dB    V 42.5030 dB] [ET    36 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41928 bits [Y 31.4479 dB    U 41.6799 dB    V 42.4028 dB] [ET    39 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42136 bits [Y 31.4703 dB    U 41.7809 dB    V 42.6782 dB] [ET    39 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  2494.8919    31.4790  41.7282  42.6057  33.0574  

 finished @ Mon Sep 11 10:21:45 2023
 Total Time:     2830.611 sec. [user]     2830.613 sec. [elapsed]
