POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201320 bits [Y 39.1058 dB    U 43.2728 dB    V 44.3251 dB] [ET    66 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201560 bits [Y 39.1264 dB    U 43.2429 dB    V 44.2676 dB] [ET    67 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202400 bits [Y 39.1481 dB    U 43.3969 dB    V 44.3116 dB] [ET    66 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202040 bits [Y 39.1413 dB    U 43.3767 dB    V 44.2585 dB] [ET    67 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202024 bits [Y 39.1334 dB    U 43.3976 dB    V 44.1840 dB] [ET    66 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     203096 bits [Y 39.1703 dB    U 43.2521 dB    V 44.3081 dB] [ET    66 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202160 bits [Y 39.1360 dB    U 43.4065 dB    V 44.1836 dB] [ET    68 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202376 bits [Y 39.1495 dB    U 43.2774 dB    V 44.1451 dB] [ET    66 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201880 bits [Y 39.1112 dB    U 43.3196 dB    V 44.2635 dB] [ET    67 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201960 bits [Y 39.1173 dB    U 43.3757 dB    V 44.2940 dB] [ET    67 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202184 bits [Y 39.1110 dB    U 43.3464 dB    V 44.2474 dB] [ET    67 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202584 bits [Y 39.1264 dB    U 43.3481 dB    V 44.3957 dB] [ET    68 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202416 bits [Y 39.1191 dB    U 43.4436 dB    V 44.4013 dB] [ET    68 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201392 bits [Y 39.1166 dB    U 43.3111 dB    V 44.2018 dB] [ET    66 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201984 bits [Y 39.1321 dB    U 43.3376 dB    V 44.2204 dB] [ET    67 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201704 bits [Y 39.0962 dB    U 43.3613 dB    V 44.2111 dB] [ET    66 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201848 bits [Y 39.1106 dB    U 43.3665 dB    V 44.2227 dB] [ET    64 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201944 bits [Y 39.1079 dB    U 43.2660 dB    V 44.2173 dB] [ET    66 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202592 bits [Y 39.1363 dB    U 43.3206 dB    V 44.2042 dB] [ET    66 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202288 bits [Y 39.1091 dB    U 43.3604 dB    V 44.1931 dB] [ET    66 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202776 bits [Y 39.1371 dB    U 43.3275 dB    V 44.3029 dB] [ET    67 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202376 bits [Y 39.1324 dB    U 43.3903 dB    V 44.2864 dB] [ET    66 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202248 bits [Y 39.1276 dB    U 43.4333 dB    V 44.3073 dB] [ET    67 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201800 bits [Y 39.1444 dB    U 43.3752 dB    V 44.1158 dB] [ET    68 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201832 bits [Y 39.1162 dB    U 43.1127 dB    V 44.2284 dB] [ET    67 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202224 bits [Y 39.1274 dB    U 43.3562 dB    V 44.2756 dB] [ET    66 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202136 bits [Y 39.1248 dB    U 43.3535 dB    V 44.2699 dB] [ET    67 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201656 bits [Y 39.1172 dB    U 43.2928 dB    V 44.2517 dB] [ET    66 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202696 bits [Y 39.1477 dB    U 43.3082 dB    V 44.2642 dB] [ET    68 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202376 bits [Y 39.1332 dB    U 43.3561 dB    V 44.2546 dB] [ET    67 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201992 bits [Y 39.1146 dB    U 43.3848 dB    V 44.3319 dB] [ET    66 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202448 bits [Y 39.1624 dB    U 43.3443 dB    V 44.2278 dB] [ET    64 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201504 bits [Y 39.1216 dB    U 43.3904 dB    V 44.1866 dB] [ET    66 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201424 bits [Y 39.1376 dB    U 43.2040 dB    V 44.2033 dB] [ET    66 ] [L0] [L1]
