POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419816 bits [Y 42.1867 dB    U 45.4677 dB    V 45.9186 dB] [ET   100 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419048 bits [Y 42.1724 dB    U 45.3961 dB    V 45.8001 dB] [ET   102 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418808 bits [Y 42.1638 dB    U 45.3914 dB    V 45.9193 dB] [ET    98 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     420504 bits [Y 42.1878 dB    U 45.3878 dB    V 45.9262 dB] [ET   102 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418560 bits [Y 42.1900 dB    U 45.3992 dB    V 45.9612 dB] [ET    98 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418488 bits [Y 42.1787 dB    U 45.4431 dB    V 45.9159 dB] [ET   100 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418728 bits [Y 42.1825 dB    U 45.3763 dB    V 45.9077 dB] [ET   105 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419464 bits [Y 42.2083 dB    U 45.3791 dB    V 45.9632 dB] [ET    99 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418672 bits [Y 42.1754 dB    U 45.3400 dB    V 45.8882 dB] [ET   101 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     421232 bits [Y 42.2084 dB    U 45.4131 dB    V 45.8302 dB] [ET    99 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419632 bits [Y 42.1768 dB    U 45.3710 dB    V 45.8844 dB] [ET   103 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418136 bits [Y 42.1554 dB    U 45.3204 dB    V 45.8689 dB] [ET   103 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419744 bits [Y 42.1878 dB    U 45.3327 dB    V 45.7789 dB] [ET    96 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417784 bits [Y 42.1677 dB    U 45.4245 dB    V 45.9339 dB] [ET   104 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418600 bits [Y 42.1837 dB    U 45.3994 dB    V 45.8500 dB] [ET    99 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418952 bits [Y 42.1789 dB    U 45.4096 dB    V 45.8665 dB] [ET    99 ] [L0] [L1]
