POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332368 bits [Y 42.7535 dB    U 46.2003 dB    V 47.0457 dB] [ET    87 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332912 bits [Y 42.7779 dB    U 46.3279 dB    V 47.0016 dB] [ET    87 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332600 bits [Y 42.7666 dB    U 46.1915 dB    V 47.0392 dB] [ET    87 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334664 bits [Y 42.8060 dB    U 46.2256 dB    V 47.0020 dB] [ET    86 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333472 bits [Y 42.7885 dB    U 46.2062 dB    V 47.0066 dB] [ET    87 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332544 bits [Y 42.7750 dB    U 46.1459 dB    V 46.9938 dB] [ET    88 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334160 bits [Y 42.7806 dB    U 46.2158 dB    V 47.0662 dB] [ET    90 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332784 bits [Y 42.7799 dB    U 46.2550 dB    V 46.9749 dB] [ET    87 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332920 bits [Y 42.7726 dB    U 46.2271 dB    V 46.9648 dB] [ET    86 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334120 bits [Y 42.7878 dB    U 46.2227 dB    V 47.0186 dB] [ET    86 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334512 bits [Y 42.7784 dB    U 46.2011 dB    V 47.0045 dB] [ET    88 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333680 bits [Y 42.7666 dB    U 46.2284 dB    V 47.0200 dB] [ET    88 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332992 bits [Y 42.7615 dB    U 46.2585 dB    V 47.0328 dB] [ET    88 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332864 bits [Y 42.7768 dB    U 46.2398 dB    V 47.0371 dB] [ET    88 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332896 bits [Y 42.7635 dB    U 46.2480 dB    V 46.9610 dB] [ET    88 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332400 bits [Y 42.7656 dB    U 46.1536 dB    V 46.9113 dB] [ET    86 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333568 bits [Y 42.7823 dB    U 46.2280 dB    V 47.0052 dB] [ET    90 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333928 bits [Y 42.7892 dB    U 46.3310 dB    V 46.9616 dB] [ET    88 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334344 bits [Y 42.7968 dB    U 46.2559 dB    V 46.9690 dB] [ET    89 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332656 bits [Y 42.7504 dB    U 46.2809 dB    V 46.9290 dB] [ET    87 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333928 bits [Y 42.7887 dB    U 46.2857 dB    V 46.9424 dB] [ET    86 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333872 bits [Y 42.7831 dB    U 46.2326 dB    V 47.0401 dB] [ET    89 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332408 bits [Y 42.7907 dB    U 46.1639 dB    V 47.0189 dB] [ET    86 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332552 bits [Y 42.7794 dB    U 46.2735 dB    V 47.0684 dB] [ET    88 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333208 bits [Y 42.7814 dB    U 46.1403 dB    V 47.0953 dB] [ET    86 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333152 bits [Y 42.7696 dB    U 46.1970 dB    V 47.0139 dB] [ET    87 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334048 bits [Y 42.7810 dB    U 46.2445 dB    V 47.0214 dB] [ET    85 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333472 bits [Y 42.7890 dB    U 46.3076 dB    V 46.9985 dB] [ET    87 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333104 bits [Y 42.7689 dB    U 46.2904 dB    V 47.0013 dB] [ET    87 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333264 bits [Y 42.7906 dB    U 46.1397 dB    V 46.9687 dB] [ET    86 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333504 bits [Y 42.7944 dB    U 46.2130 dB    V 47.0104 dB] [ET    88 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333888 bits [Y 42.7995 dB    U 46.2285 dB    V 47.0062 dB] [ET    89 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332576 bits [Y 42.7765 dB    U 46.2882 dB    V 47.0046 dB] [ET    88 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332680 bits [Y 42.7798 dB    U 46.1495 dB    V 46.9992 dB] [ET    88 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333792 bits [Y 42.8134 dB    U 46.1652 dB    V 47.0763 dB] [ET    88 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332400 bits [Y 42.7710 dB    U 46.2450 dB    V 47.0530 dB] [ET    87 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333640 bits [Y 42.8095 dB    U 46.2771 dB    V 47.0293 dB] [ET    88 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332568 bits [Y 42.7587 dB    U 46.1878 dB    V 47.0499 dB] [ET    87 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332712 bits [Y 42.7769 dB    U 46.2238 dB    V 47.0048 dB] [ET    88 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332208 bits [Y 42.7750 dB    U 46.1754 dB    V 47.0609 dB] [ET    88 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332416 bits [Y 42.7882 dB    U 46.1206 dB    V 47.1037 dB] [ET    88 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     331960 bits [Y 42.7807 dB    U 46.2226 dB    V 46.9871 dB] [ET    87 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     331984 bits [Y 42.7707 dB    U 46.2198 dB    V 46.9352 dB] [ET    87 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332688 bits [Y 42.7689 dB    U 46.1877 dB    V 46.9836 dB] [ET    88 ] [L0] [L1]
