POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80816 bits [Y 36.8804 dB    U 44.3188 dB    V 45.5918 dB] [ET    34 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81792 bits [Y 36.9522 dB    U 44.4234 dB    V 45.5154 dB] [ET    35 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81632 bits [Y 36.8730 dB    U 44.1871 dB    V 45.7364 dB] [ET    36 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81992 bits [Y 36.9307 dB    U 44.3162 dB    V 45.5866 dB] [ET    33 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80176 bits [Y 36.9774 dB    U 44.3464 dB    V 45.5786 dB] [ET    35 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80208 bits [Y 36.9271 dB    U 44.2914 dB    V 45.6563 dB] [ET    36 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80720 bits [Y 36.9095 dB    U 44.4474 dB    V 45.6682 dB] [ET    33 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80784 bits [Y 36.9085 dB    U 44.2208 dB    V 45.4746 dB] [ET    34 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80552 bits [Y 36.9021 dB    U 44.0342 dB    V 45.2500 dB] [ET    33 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80720 bits [Y 36.8873 dB    U 44.1484 dB    V 45.4768 dB] [ET    33 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81392 bits [Y 36.8821 dB    U 44.2262 dB    V 45.6384 dB] [ET    34 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81184 bits [Y 36.9045 dB    U 44.2190 dB    V 45.5347 dB] [ET    33 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81448 bits [Y 36.8806 dB    U 44.3622 dB    V 45.8391 dB] [ET    33 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80248 bits [Y 36.9712 dB    U 44.2979 dB    V 45.6683 dB] [ET    34 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80160 bits [Y 36.9673 dB    U 44.2365 dB    V 45.3606 dB] [ET    36 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80272 bits [Y 36.9624 dB    U 44.4277 dB    V 45.4039 dB] [ET    37 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79864 bits [Y 36.9153 dB    U 44.3321 dB    V 45.6623 dB] [ET    35 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80824 bits [Y 36.9358 dB    U 44.4855 dB    V 45.4525 dB] [ET    36 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81136 bits [Y 36.9308 dB    U 44.2487 dB    V 45.6165 dB] [ET    34 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80736 bits [Y 36.9104 dB    U 44.1513 dB    V 45.5707 dB] [ET    35 ] [L0] [L1]
