POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144160 bits [Y 44.3107 dB    U 46.8329 dB    V 46.7651 dB] [ET    64 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144120 bits [Y 44.3206 dB    U 46.8981 dB    V 46.8258 dB] [ET    63 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144456 bits [Y 44.3331 dB    U 46.9084 dB    V 46.8060 dB] [ET    63 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144656 bits [Y 44.3004 dB    U 47.0176 dB    V 46.7993 dB] [ET    64 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143392 bits [Y 44.3153 dB    U 46.9224 dB    V 46.7259 dB] [ET    63 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144160 bits [Y 44.3422 dB    U 46.8949 dB    V 46.8391 dB] [ET    64 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143632 bits [Y 44.3398 dB    U 46.8663 dB    V 46.7790 dB] [ET    63 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144304 bits [Y 44.3296 dB    U 46.8529 dB    V 46.7237 dB] [ET    63 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144800 bits [Y 44.3124 dB    U 46.8912 dB    V 46.8132 dB] [ET    64 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144296 bits [Y 44.3310 dB    U 46.8265 dB    V 46.8067 dB] [ET    61 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     142808 bits [Y 44.2801 dB    U 46.9005 dB    V 46.7747 dB] [ET    63 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143632 bits [Y 44.3124 dB    U 46.8993 dB    V 46.7058 dB] [ET    64 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144096 bits [Y 44.3067 dB    U 46.9319 dB    V 46.7146 dB] [ET    64 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144152 bits [Y 44.3430 dB    U 46.8562 dB    V 46.8056 dB] [ET    66 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144136 bits [Y 44.3445 dB    U 46.9536 dB    V 46.7412 dB] [ET    63 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143952 bits [Y 44.3429 dB    U 46.7924 dB    V 46.8211 dB] [ET    63 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143784 bits [Y 44.3167 dB    U 46.8896 dB    V 46.8360 dB] [ET    64 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143728 bits [Y 44.2849 dB    U 46.9234 dB    V 46.8022 dB] [ET    63 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144048 bits [Y 44.3235 dB    U 46.9070 dB    V 46.7769 dB] [ET    63 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143360 bits [Y 44.3027 dB    U 46.9156 dB    V 46.7419 dB] [ET    64 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144456 bits [Y 44.3297 dB    U 46.9819 dB    V 46.6981 dB] [ET    62 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144312 bits [Y 44.3238 dB    U 46.8641 dB    V 46.8291 dB] [ET    63 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143968 bits [Y 44.3405 dB    U 46.8551 dB    V 46.8110 dB] [ET    61 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143432 bits [Y 44.3184 dB    U 46.8475 dB    V 46.7694 dB] [ET    63 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143312 bits [Y 44.3214 dB    U 46.8297 dB    V 46.7968 dB] [ET    61 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144656 bits [Y 44.3357 dB    U 46.8652 dB    V 46.8967 dB] [ET    63 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143824 bits [Y 44.3269 dB    U 46.9622 dB    V 46.7936 dB] [ET    66 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144544 bits [Y 44.3229 dB    U 46.8843 dB    V 46.8738 dB] [ET    63 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144984 bits [Y 44.3616 dB    U 46.8646 dB    V 46.7682 dB] [ET    62 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143736 bits [Y 44.3209 dB    U 46.8568 dB    V 46.7091 dB] [ET    63 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144360 bits [Y 44.3011 dB    U 47.0491 dB    V 46.7420 dB] [ET    61 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143112 bits [Y 44.3298 dB    U 46.8989 dB    V 46.8307 dB] [ET    64 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143384 bits [Y 44.3253 dB    U 46.9848 dB    V 46.7025 dB] [ET    65 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143528 bits [Y 44.3297 dB    U 46.9013 dB    V 46.7833 dB] [ET    62 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143608 bits [Y 44.3315 dB    U 46.9253 dB    V 46.7611 dB] [ET    62 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143704 bits [Y 44.3305 dB    U 46.9446 dB    V 46.7363 dB] [ET    63 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144456 bits [Y 44.3183 dB    U 46.9073 dB    V 46.8662 dB] [ET    64 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143344 bits [Y 44.3233 dB    U 46.9404 dB    V 46.8147 dB] [ET    64 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144080 bits [Y 44.3200 dB    U 46.8577 dB    V 46.7764 dB] [ET    64 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143512 bits [Y 44.2900 dB    U 46.9345 dB    V 46.8209 dB] [ET    64 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143528 bits [Y 44.3314 dB    U 47.0003 dB    V 46.7915 dB] [ET    63 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144016 bits [Y 44.3567 dB    U 46.8538 dB    V 46.8214 dB] [ET    63 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143944 bits [Y 44.3284 dB    U 46.8818 dB    V 46.9082 dB] [ET    63 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143080 bits [Y 44.3474 dB    U 46.8191 dB    V 46.8477 dB] [ET    63 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143896 bits [Y 44.3126 dB    U 46.9070 dB    V 46.8402 dB] [ET    64 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143648 bits [Y 44.3302 dB    U 46.8609 dB    V 46.7714 dB] [ET    65 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143872 bits [Y 44.3323 dB    U 46.8890 dB    V 46.8414 dB] [ET    63 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143032 bits [Y 44.2884 dB    U 46.9168 dB    V 46.7862 dB] [ET    61 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144488 bits [Y 44.3322 dB    U 46.8717 dB    V 46.8665 dB] [ET    63 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143312 bits [Y 44.3303 dB    U 46.8092 dB    V 46.8099 dB] [ET    65 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143384 bits [Y 44.3057 dB    U 46.8634 dB    V 46.8098 dB] [ET    63 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     142864 bits [Y 44.3190 dB    U 46.9764 dB    V 46.7513 dB] [ET    65 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144376 bits [Y 44.3744 dB    U 46.9778 dB    V 46.7951 dB] [ET    63 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144072 bits [Y 44.3487 dB    U 46.9232 dB    V 46.7712 dB] [ET    64 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144072 bits [Y 44.3353 dB    U 46.8109 dB    V 46.8714 dB] [ET    64 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     143888 bits [Y 44.2967 dB    U 46.9064 dB    V 46.8483 dB] [ET    61 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144960 bits [Y 44.3420 dB    U 46.8486 dB    V 46.8749 dB] [ET    64 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     144440 bits [Y 44.3405 dB    U 46.8930 dB    V 46.7842 dB] [ET    62 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  8641.2326    44.3228  46.8954  46.8024  45.0133  

 finished @ Mon Sep  4 15:26:59 2023
 Total Time:     5152.153 sec. [user]     5152.154 sec. [elapsed]
