POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241704 bits [Y 38.0378 dB    U 42.2446 dB    V 42.5036 dB] [ET    87 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241776 bits [Y 38.0613 dB    U 42.2248 dB    V 42.6427 dB] [ET    87 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240488 bits [Y 38.0190 dB    U 42.3259 dB    V 42.4967 dB] [ET    88 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241272 bits [Y 38.0353 dB    U 42.1929 dB    V 42.4577 dB] [ET    87 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239232 bits [Y 38.0398 dB    U 42.2398 dB    V 42.6059 dB] [ET    87 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241192 bits [Y 38.0705 dB    U 42.2381 dB    V 42.4841 dB] [ET    88 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240416 bits [Y 38.0413 dB    U 42.2958 dB    V 42.5454 dB] [ET    86 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240880 bits [Y 38.0327 dB    U 42.3389 dB    V 42.5925 dB] [ET    85 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240456 bits [Y 38.0399 dB    U 42.2188 dB    V 42.5712 dB] [ET    87 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241976 bits [Y 38.0461 dB    U 42.2667 dB    V 42.5857 dB] [ET    91 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241328 bits [Y 38.0302 dB    U 42.2400 dB    V 42.5749 dB] [ET    87 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240792 bits [Y 38.0386 dB    U 42.1787 dB    V 42.5550 dB] [ET    86 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240312 bits [Y 38.0255 dB    U 42.1395 dB    V 42.6310 dB] [ET    85 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239296 bits [Y 38.0237 dB    U 42.1561 dB    V 42.4657 dB] [ET    85 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239896 bits [Y 38.0322 dB    U 42.2013 dB    V 42.5341 dB] [ET    87 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240464 bits [Y 38.0304 dB    U 42.1874 dB    V 42.5487 dB] [ET    86 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239864 bits [Y 38.0149 dB    U 42.2476 dB    V 42.5308 dB] [ET    85 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240136 bits [Y 38.0332 dB    U 42.1255 dB    V 42.5362 dB] [ET    86 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241744 bits [Y 38.0342 dB    U 42.2556 dB    V 42.5546 dB] [ET    85 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240544 bits [Y 38.0186 dB    U 42.0864 dB    V 42.5565 dB] [ET    86 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240656 bits [Y 38.0200 dB    U 42.2761 dB    V 42.5208 dB] [ET    87 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241096 bits [Y 38.0348 dB    U 42.1403 dB    V 42.5381 dB] [ET    87 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240600 bits [Y 38.0476 dB    U 42.1516 dB    V 42.4963 dB] [ET    85 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239752 bits [Y 38.0298 dB    U 42.2548 dB    V 42.5370 dB] [ET    83 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239392 bits [Y 37.9962 dB    U 42.1641 dB    V 42.5301 dB] [ET    81 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240824 bits [Y 38.0199 dB    U 42.2894 dB    V 42.5351 dB] [ET    80 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241472 bits [Y 38.0483 dB    U 42.3040 dB    V 42.5865 dB] [ET    82 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     242040 bits [Y 38.0684 dB    U 42.2123 dB    V 42.5376 dB] [ET    81 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240104 bits [Y 38.0103 dB    U 42.2377 dB    V 42.5585 dB] [ET    82 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239712 bits [Y 38.0296 dB    U 42.2063 dB    V 42.5826 dB] [ET    84 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240784 bits [Y 38.0124 dB    U 42.0853 dB    V 42.4344 dB] [ET    81 ] [L0] [L1]
