POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414824 bits [Y 41.7964 dB    U 48.3890 dB    V 49.3250 dB] [ET    95 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415528 bits [Y 41.8085 dB    U 48.4243 dB    V 49.2546 dB] [ET    96 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415992 bits [Y 41.7848 dB    U 48.3876 dB    V 49.3571 dB] [ET    92 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416720 bits [Y 41.8113 dB    U 48.3960 dB    V 49.2772 dB] [ET   100 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414704 bits [Y 41.8142 dB    U 48.4211 dB    V 49.3213 dB] [ET    95 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415200 bits [Y 41.8129 dB    U 48.3618 dB    V 49.2606 dB] [ET    97 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414424 bits [Y 41.8086 dB    U 48.4373 dB    V 49.1976 dB] [ET    96 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414336 bits [Y 41.7930 dB    U 48.4323 dB    V 49.3237 dB] [ET    97 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415512 bits [Y 41.7996 dB    U 48.3683 dB    V 49.3160 dB] [ET    98 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414888 bits [Y 41.7897 dB    U 48.4469 dB    V 49.3912 dB] [ET    96 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416088 bits [Y 41.7989 dB    U 48.4675 dB    V 49.3085 dB] [ET    96 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417360 bits [Y 41.8201 dB    U 48.3544 dB    V 49.3699 dB] [ET    93 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416216 bits [Y 41.8035 dB    U 48.3826 dB    V 49.3000 dB] [ET    92 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     412568 bits [Y 41.7751 dB    U 48.5701 dB    V 49.3714 dB] [ET    93 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414664 bits [Y 41.7972 dB    U 48.5046 dB    V 49.3626 dB] [ET    97 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415312 bits [Y 41.8032 dB    U 48.4611 dB    V 49.3045 dB] [ET    92 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414472 bits [Y 41.8040 dB    U 48.4099 dB    V 49.3954 dB] [ET    98 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416176 bits [Y 41.8163 dB    U 48.4952 dB    V 49.3327 dB] [ET    95 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413768 bits [Y 41.7833 dB    U 48.3947 dB    V 49.2363 dB] [ET    94 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415688 bits [Y 41.7933 dB    U 48.4301 dB    V 49.3616 dB] [ET    94 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415912 bits [Y 41.7934 dB    U 48.4021 dB    V 49.3903 dB] [ET    94 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416016 bits [Y 41.7823 dB    U 48.5732 dB    V 49.3832 dB] [ET    98 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413328 bits [Y 41.7848 dB    U 48.4338 dB    V 49.4244 dB] [ET    95 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415176 bits [Y 41.7859 dB    U 48.4616 dB    V 49.3221 dB] [ET    96 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414656 bits [Y 41.7906 dB    U 48.4172 dB    V 49.2794 dB] [ET    96 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414664 bits [Y 41.7863 dB    U 48.3913 dB    V 49.3702 dB] [ET    96 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415208 bits [Y 41.8057 dB    U 48.4396 dB    V 49.3568 dB] [ET    99 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415656 bits [Y 41.8007 dB    U 48.3920 dB    V 49.3203 dB] [ET    98 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415880 bits [Y 41.7868 dB    U 48.4773 dB    V 49.3936 dB] [ET    98 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417168 bits [Y 41.8165 dB    U 48.5118 dB    V 49.3835 dB] [ET    94 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417072 bits [Y 41.8111 dB    U 48.4352 dB    V 49.3316 dB] [ET    91 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413520 bits [Y 41.7754 dB    U 48.4979 dB    V 49.3708 dB] [ET    98 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415744 bits [Y 41.8150 dB    U 48.3859 dB    V 49.3217 dB] [ET    98 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415912 bits [Y 41.8054 dB    U 48.4631 dB    V 49.3188 dB] [ET    98 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414600 bits [Y 41.7866 dB    U 48.3721 dB    V 49.3787 dB] [ET    90 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417232 bits [Y 41.8191 dB    U 48.5299 dB    V 49.3315 dB] [ET    98 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415872 bits [Y 41.7972 dB    U 48.4035 dB    V 49.2195 dB] [ET    98 ] [L0] [L1]
