POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65736 bits [Y 32.3960 dB    U 38.7936 dB    V 40.7208 dB] [ET    39 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65008 bits [Y 32.3611 dB    U 38.8687 dB    V 40.9077 dB] [ET    40 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65848 bits [Y 32.4192 dB    U 38.7603 dB    V 40.8809 dB] [ET    38 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65376 bits [Y 32.3619 dB    U 38.8757 dB    V 41.0261 dB] [ET    40 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65712 bits [Y 32.3959 dB    U 38.7491 dB    V 40.9224 dB] [ET    39 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66152 bits [Y 32.4264 dB    U 38.8402 dB    V 40.9011 dB] [ET    38 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65976 bits [Y 32.3784 dB    U 38.8428 dB    V 40.8460 dB] [ET    38 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65864 bits [Y 32.3909 dB    U 38.8255 dB    V 40.6923 dB] [ET    38 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65680 bits [Y 32.4012 dB    U 39.0074 dB    V 40.8790 dB] [ET    37 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65568 bits [Y 32.3615 dB    U 38.9259 dB    V 40.6780 dB] [ET    38 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65440 bits [Y 32.3806 dB    U 39.1092 dB    V 41.0078 dB] [ET    38 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65624 bits [Y 32.4032 dB    U 38.7945 dB    V 40.7369 dB] [ET    39 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66056 bits [Y 32.4143 dB    U 38.8614 dB    V 40.8832 dB] [ET    38 ] [L0] [L1]
