POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129048 bits [Y 40.3490 dB    U 44.6659 dB    V 48.7102 dB] [ET    54 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128760 bits [Y 40.3303 dB    U 44.6825 dB    V 48.7368 dB] [ET    54 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129704 bits [Y 40.3729 dB    U 44.7226 dB    V 48.6916 dB] [ET    54 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129768 bits [Y 40.3632 dB    U 44.7671 dB    V 48.7499 dB] [ET    54 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128776 bits [Y 40.3792 dB    U 44.7101 dB    V 48.7514 dB] [ET    55 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129080 bits [Y 40.3844 dB    U 44.7511 dB    V 48.8582 dB] [ET    55 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128392 bits [Y 40.3563 dB    U 44.6495 dB    V 48.8936 dB] [ET    54 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127888 bits [Y 40.3219 dB    U 44.6702 dB    V 48.8541 dB] [ET    55 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128472 bits [Y 40.3784 dB    U 44.5457 dB    V 48.7492 dB] [ET    54 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128968 bits [Y 40.3820 dB    U 44.7780 dB    V 48.8278 dB] [ET    54 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128240 bits [Y 40.3435 dB    U 44.7034 dB    V 48.7664 dB] [ET    55 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129192 bits [Y 40.3935 dB    U 44.6986 dB    V 48.7993 dB] [ET    55 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128448 bits [Y 40.3275 dB    U 44.8001 dB    V 48.6853 dB] [ET    55 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129336 bits [Y 40.4078 dB    U 44.8011 dB    V 48.9167 dB] [ET    55 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129320 bits [Y 40.3839 dB    U 44.7693 dB    V 48.6503 dB] [ET    55 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128376 bits [Y 40.3622 dB    U 44.7301 dB    V 48.8275 dB] [ET    55 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128424 bits [Y 40.3669 dB    U 44.7453 dB    V 48.6627 dB] [ET    54 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128496 bits [Y 40.3863 dB    U 44.7466 dB    V 48.6867 dB] [ET    54 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127880 bits [Y 40.3500 dB    U 44.7334 dB    V 48.8449 dB] [ET    56 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128328 bits [Y 40.3682 dB    U 44.7315 dB    V 48.8315 dB] [ET    53 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128880 bits [Y 40.3677 dB    U 44.8224 dB    V 48.8406 dB] [ET    54 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128720 bits [Y 40.3840 dB    U 44.7965 dB    V 48.7750 dB] [ET    54 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128864 bits [Y 40.3954 dB    U 44.7578 dB    V 48.8325 dB] [ET    56 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129168 bits [Y 40.4039 dB    U 44.7541 dB    V 48.5426 dB] [ET    55 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128080 bits [Y 40.3606 dB    U 44.6208 dB    V 48.7311 dB] [ET    54 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128896 bits [Y 40.3977 dB    U 44.7953 dB    V 48.6978 dB] [ET    54 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128384 bits [Y 40.3607 dB    U 44.7316 dB    V 48.7341 dB] [ET    53 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127840 bits [Y 40.3635 dB    U 44.6504 dB    V 48.7788 dB] [ET    55 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129312 bits [Y 40.4131 dB    U 44.8040 dB    V 48.6930 dB] [ET    55 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128704 bits [Y 40.3812 dB    U 44.7396 dB    V 48.7406 dB] [ET    53 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128648 bits [Y 40.3758 dB    U 44.6866 dB    V 48.6918 dB] [ET    55 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129056 bits [Y 40.3940 dB    U 44.7324 dB    V 48.8036 dB] [ET    55 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128104 bits [Y 40.3670 dB    U 44.6081 dB    V 48.7367 dB] [ET    55 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128640 bits [Y 40.3982 dB    U 44.7406 dB    V 48.7635 dB] [ET    54 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127832 bits [Y 40.3636 dB    U 44.7332 dB    V 48.7875 dB] [ET    54 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127312 bits [Y 40.3224 dB    U 44.7407 dB    V 48.7931 dB] [ET    54 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128120 bits [Y 40.3474 dB    U 44.7849 dB    V 48.7312 dB] [ET    53 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127416 bits [Y 40.3266 dB    U 44.8255 dB    V 48.7011 dB] [ET    53 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128184 bits [Y 40.3605 dB    U 44.6991 dB    V 48.7556 dB] [ET    53 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128416 bits [Y 40.3605 dB    U 44.7540 dB    V 48.6823 dB] [ET    52 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129080 bits [Y 40.4184 dB    U 44.8012 dB    V 48.7116 dB] [ET    53 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128272 bits [Y 40.3752 dB    U 44.7013 dB    V 48.6684 dB] [ET    54 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128616 bits [Y 40.3625 dB    U 44.8094 dB    V 48.8171 dB] [ET    54 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128264 bits [Y 40.3449 dB    U 44.8194 dB    V 48.8635 dB] [ET    53 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128288 bits [Y 40.3495 dB    U 44.6525 dB    V 48.6850 dB] [ET    54 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     129088 bits [Y 40.3895 dB    U 44.8018 dB    V 48.9398 dB] [ET    53 ] [L0] [L1]
