
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 13:55:26 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 37 )     112976 bits [Y 29.5735 dB    U 37.2299 dB    V 35.8913 dB] [ET    43 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     112968 bits [Y 29.5811 dB    U 37.4264 dB    V 35.9607 dB] [ET    43 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113680 bits [Y 29.6004 dB    U 37.3111 dB    V 35.9329 dB] [ET    43 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     114040 bits [Y 29.6037 dB    U 37.4815 dB    V 35.9239 dB] [ET    43 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     114120 bits [Y 29.5987 dB    U 37.4157 dB    V 35.9700 dB] [ET    44 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     114456 bits [Y 29.6080 dB    U 37.3617 dB    V 35.9025 dB] [ET    43 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113040 bits [Y 29.5843 dB    U 37.2938 dB    V 35.9157 dB] [ET    44 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113064 bits [Y 29.5928 dB    U 37.2315 dB    V 35.9338 dB] [ET    44 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113792 bits [Y 29.6044 dB    U 37.3205 dB    V 35.9902 dB] [ET    44 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113512 bits [Y 29.5966 dB    U 37.3651 dB    V 36.0857 dB] [ET    42 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     114168 bits [Y 29.6213 dB    U 37.3472 dB    V 35.8679 dB] [ET    44 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113648 bits [Y 29.5900 dB    U 37.4060 dB    V 35.9266 dB] [ET    44 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113824 bits [Y 29.6136 dB    U 37.3211 dB    V 35.9630 dB] [ET    42 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     112864 bits [Y 29.5479 dB    U 37.4041 dB    V 36.0307 dB] [ET    45 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113552 bits [Y 29.5888 dB    U 37.3961 dB    V 35.8972 dB] [ET    43 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113808 bits [Y 29.5979 dB    U 37.2889 dB    V 35.9533 dB] [ET    43 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     112760 bits [Y 29.5757 dB    U 37.4148 dB    V 35.8602 dB] [ET    43 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113648 bits [Y 29.6112 dB    U 37.2298 dB    V 35.9668 dB] [ET    44 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     114104 bits [Y 29.6016 dB    U 37.3792 dB    V 35.9324 dB] [ET    43 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )     113552 bits [Y 29.5991 dB    U 37.4101 dB    V 35.9282 dB] [ET    42 ] [L0] [L1]
