POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      94320 bits [Y 33.9423 dB    U 43.3794 dB    V 44.2284 dB] [ET    61 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95584 bits [Y 33.9765 dB    U 43.3362 dB    V 44.1786 dB] [ET    62 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95408 bits [Y 33.9729 dB    U 43.2723 dB    V 44.1492 dB] [ET    61 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95296 bits [Y 33.9671 dB    U 43.3935 dB    V 44.2173 dB] [ET    61 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      94336 bits [Y 33.9663 dB    U 43.1700 dB    V 44.3283 dB] [ET    60 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95336 bits [Y 33.9847 dB    U 43.4681 dB    V 44.3848 dB] [ET    60 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95272 bits [Y 33.9963 dB    U 43.2341 dB    V 44.3088 dB] [ET    61 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95320 bits [Y 33.9900 dB    U 43.1346 dB    V 44.2292 dB] [ET    61 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95160 bits [Y 33.9772 dB    U 43.0909 dB    V 44.1227 dB] [ET    61 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      94888 bits [Y 33.9545 dB    U 43.2330 dB    V 44.2776 dB] [ET    62 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      94952 bits [Y 33.9532 dB    U 43.0899 dB    V 44.2309 dB] [ET    63 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95392 bits [Y 33.9610 dB    U 42.9913 dB    V 44.1788 dB] [ET    61 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95816 bits [Y 33.9815 dB    U 43.1894 dB    V 44.0453 dB] [ET    61 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      93952 bits [Y 33.9637 dB    U 43.3921 dB    V 44.2748 dB] [ET    59 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      94976 bits [Y 33.9678 dB    U 43.2001 dB    V 44.2324 dB] [ET    58 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      94888 bits [Y 33.9615 dB    U 43.2143 dB    V 44.2739 dB] [ET    61 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      94968 bits [Y 33.9907 dB    U 42.9446 dB    V 44.2587 dB] [ET    63 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95200 bits [Y 33.9680 dB    U 43.2007 dB    V 44.0718 dB] [ET    62 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95176 bits [Y 33.9564 dB    U 43.1750 dB    V 44.1798 dB] [ET    62 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95544 bits [Y 33.9605 dB    U 43.2836 dB    V 44.3961 dB] [ET    61 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95896 bits [Y 33.9727 dB    U 43.0754 dB    V 44.1920 dB] [ET    61 ] [L0] [L1]
